trial,yield,mse,active_ingredient,year,spray
52,1172.51,14664.9187,tebu,2007,2
53,1673.45,24975.6395,check,2007,2
53,1907.00,24975.6395,cypr,2007,2
53,2072.68,24975.6395,tebu,2007,2
54,1245.73,78575.6725,check,2007,2
54,1554.88,78575.6725,cypr,2007,2
54,1824.47,78575.6725,tebu,2007,2
55,2878.00,123820.7841,check,2007,2
55,3207.28,123820.7841,cypr,2007,2
55,3383.31,123820.7841,tebu,2007,2
56,1257.20,74934.2921,check,2007,2
56,2273.43,74934.2921,cypr,2007,2
56,2481.04,74934.2921,tebu,2007,2
57,2622.08,399893.9885,check,2007,2
57,3089.18,399893.9885,cypr,2007,2
57,4020.01,399893.9885,tebu,2007,2
58,1778.05,49691.0996,check,2007,2
58,2466.85,49691.0996,azox,2007,2
58,2630.55,49691.0996,pyra_epox,2007,2
58,2861.73,49691.0996,azox_cypr,2007,2
58,2740.20,49691.0996,tebu,2007,2
59,555.60,63832.4886,check,2007,2
59,1470.25,63832.4886,azox,2007,2
59,1526.98,63832.4886,pyra_epox,2007,2
59,1645.78,63832.4886,azox_cypr,2007,2
59,1962.23,63832.4886,tebu,2007,2
60,3011.50,43371.5470,check,2007,2
60,3577.75,43371.5470,azox,2007,2
60,3870.00,43371.5470,pyra_epox,2007,2
60,3977.75,43371.5470,azox_cypr,2007,2
60,3775.25,43371.5470,tebu,2007,2
61,596.23,32691.7653,check,2007,2
61,1583.15,32691.7653,azox,2007,2
61,1527.45,32691.7653,pyra_epox,2007,2
61,2285.40,32691.7653,azox_cypr,2007,2
61,1400.18,32691.7653,tebu,2007,2
62,1827.73,104369.9310,check,2007,
62,2476.00,104369.9310,azox,2007,
62,2856.75,104369.9310,pyra_epox,2007,
62,2890.13,104369.9310,azox_cypr,2007,
62,2782.65,104369.9310,tebu,2007,
63,2072.85,99994.0165,check,2007,2
63,2530.95,99994.0165,azox,2007,2
63,3048.75,99994.0165,pyra_epox,2007,2
63,3273.30,99994.0165,azox_cypr,2007,2
64,2351.23,154760.9430,check,2007,2
64,3036.73,154760.9430,azox,2007,2
64,3347.60,154760.9430,pyra_epox,2007,2
64,3897.95,154760.9430,azox_cypr,2007,2
64,3640.78,154760.9430,tebu,2007,2
65,1427.35,75935.5155,check,2007,2
65,2279.95,75935.5155,azox,2007,2
65,2986.40,75935.5155,pyra_epox,2007,2
65,2662.60,75935.5155,azox_cypr,2007,2
65,2614.08,75935.5155,tebu,2007,2
66,660.00,39570.8940,check,2007,2
66,1340.00,39570.8940,azox,2007,2
66,1377.50,39570.8940,pyra_epox,2007,2
66,1477.50,39570.8940,azox_cypr,2007,2
66,1367.50,39570.8940,tebu,2007,2
67,1280.63,64561.1026,check,2007,2
67,1749.25,64561.1026,azox,2007,2
67,1903.35,64561.1026,pyra_epox,2007,2
67,2089.20,64561.1026,azox_cypr,2007,2
67,2143.65,64561.1026,tebu,2007,2
68,628.50,47271.2767,check,2007,2
68,1307.88,47271.2767,azox,2007,2
68,1150.63,47271.2767,pyra_epox,2007,2
68,2036.83,47271.2767,azox_cypr,2007,2
68,1510.20,47271.2767,tebu,2007,2
69,2184.20,61713.5723,check,2007,2
69,3231.30,61713.5723,azox,2007,2
69,3372.88,61713.5723,pyra_epox,2007,2
69,3567.80,61713.5723,azox_cypr,2007,2
69,3335.50,61713.5723,tebu,2007,2
70,4446.15,67939.9380,check,2007,2
70,4960.65,67939.9380,azox,2007,2
70,4851.00,67939.9380,pyra_epox,2007,2
70,4984.50,67939.9380,azox_cypr,2007,2
70,5115.90,67939.9380,tebu,2007,2
71,1481.53,134279.5879,check,2007,2
71,1759.28,134279.5879,azox,2007,2
71,1518.00,134279.5879,pyra_epox,2007,2
71,1933.20,134279.5879,azox_cypr,2007,2
71,1159.90,134279.5879,tebu,2007,2
72,607.63,26430.0604,check,2007,2
72,1167.38,26430.0604,azox,2007,2
72,1092.58,26430.0604,pyra_epox,2007,2
72,1742.10,26430.0604,azox_cypr,2007,2
72,1131.48,26430.0604,tebu,2007,2
73,1226.95,96554.0367,check,2007,2
73,1943.68,96554.0367,azox,2007,2
73,2676.95,96554.0367,pyra_epox,2007,2
73,2702.43,96554.0367,azox_cypr,2007,2
73,2454.43,96554.0367,tebu,2007,2
74,1858.15,46659.9732,check,2007,2
74,2093.20,46659.9732,azox,2007,2
74,2153.15,46659.9732,pyra_epox,2007,2
74,2162.35,46659.9732,azox_cypr,2007,2
74,2206.05,46659.9732,tebu,2007,2
75,1536.60,119694.6219,check,2007,2
75,2061.48,119694.6219,pyra_epox,2007,2
75,2231.08,119694.6219,azox_cypr,2007,2
76,2805.03,108981.9908,check,2007,2
76,3600.93,108981.9908,azox,2007,2
76,3727.05,108981.9908,pyra_epox,2007,2
76,3602.83,108981.9908,azox_cypr,2007,2
76,3535.23,108981.9908,tebu,2007,2
77,2019.03,403032.1916,check,2007,2
77,2356.95,403032.1916,azox,2007,2
77,4345.58,403032.1916,pyra_epox,2007,2
77,3085.43,403032.1916,azox_cypr,2007,2
77,3240.00,403032.1916,tebu,2007,2
78,1748.13,119321.5690,check,2008,2
78,2654.05,119321.5690,pico_cypr,2008,2
78,2820.00,119321.5690,azox_cypr,2008,2
78,2819.75,119321.5690,tebu,2008,2
79,289.50,57897.5977,check,2008,2
79,1329.55,57897.5977,pico_cypr,2008,2
79,1278.63,57897.5977,azox_cypr,2008,2
79,820.80,57897.5977,tebu,2008,2
80,1712.75,55968.2266,check,2008,2
80,2347.58,55968.2266,pico_cypr,2008,2
80,2458.95,55968.2266,azox_cypr,2008,2
80,2449.10,55968.2266,tebu,2008,2
81,2687.28,35942.7238,check,2008,2
81,3120.08,35942.7238,pico_cypr,2008,2
81,2971.08,35942.7238,azox_cypr,2008,2
81,2952.50,35942.7238,tebu,2008,2
83,2306.38,63890.2123,check,2008,
83,2968.23,63890.2123,pico_cypr,2008,
83,3193.48,63890.2123,azox_cypr,2008,
83,2491.90,63890.2123,tebu,2008,
84,1909.10,109376.7283,check,2008,2
84,2741.98,109376.7283,pico_cypr,2008,2
84,2925.00,109376.7283,azox_cypr,2008,2
84,2484.85,109376.7283,tebu,2008,2
85,1997.70,204492.6100,check,2008,2
85,1797.98,204492.6100,pico_cypr,2008,2
85,1815.15,204492.6100,azox_cypr,2008,2
85,2056.20,204492.6100,tebu,2008,2
86,1357.08,47155.1052,check,2008,
86,2448.33,47155.1052,pico_cypr,2008,
86,2424.63,47155.1052,azox_cypr,2008,
86,2127.15,47155.1052,tebu,2008,
