trial,severity,mse,active_ingredient,year,spray
91,2.2,2.56702,pyra_epox,2009,2
91,2.2,2.56702,azox_cypr,2009,2
116,2.2,1.52843,azox_cypr,2009,2
221,2.2,1.88631,pyra_epox,2013,3
92,2.3,76.64312,pico_cypr,2009,2
189,2.3,2.98095,pyra_metc,2011,2
189,2.3,2.98095,pico_cypr,2011,2
231,2.3,0.73264,trif_prot,2013,2
231,2.3,0.73264,pico_cypr,2013,2
212,2.3,0.10999,pico_cypr,2013,3
9,2.3,26.14686,azox_cypr,2005,2
126,2.3,0.05907,tebu,2009,2
218,2.3,0.76971,azox_cypr,2013,2
70,2.4,5.52171,azox,2007,2
91,2.4,2.56702,pico_cypr,2009,2
114,2.5,0.20099,trif_prot,2009,3
117,2.5,3.09707,trif_prot,2009,2
200,2.5,4.01285,trif_prot,2012,2
200,2.5,4.01285,pico_cypr,2012,2
22,2.5,4.64198,tebu,2006,2
78,2.5,2.17532,pico_cypr,2008,2
149,2.6,283.93882,azox_cypr,2010,2
162,2.6,20.24685,pyra_epox,2010,3
65,2.6,1.31913,azox_cypr,2007,2
87,2.6,14.86689,tebu,2008,
90,2.6,3.94954,pico_cypr,2009,3
90,2.6,3.94954,azox_cypr,2009,3
162,2.6,20.24685,azox_cypr,2010,3
183,2.6,16.55883,pyra_epox,2011,2
216,2.6,21.61276,azox_cypr,2013,2
119,2.7,2.87570,azox_cypr,2009,3
127,2.7,5.48432,trif_prot,2009,2
212,2.7,0.10999,azox,2013,3
5,2.8,7.39678,azox_cypr,2005,2
26,2.8,303.11364,cypr,2006,2
161,2.8,10.64645,pico_cypr,2010,2
189,2.8,2.98095,pyra_epox,2011,2
200,2.8,4.01285,azox,2012,2
207,2.8,0.32639,azox_cypr,2012,2
119,2.8,2.87570,pyra_metc,2009,3
116,2.8,1.52843,trif_prot,2009,2
125,2.8,2.18833,azox_cypr,2009,3
185,2.8,32.22233,trif_prot,2011,2
218,2.9,0.76971,pyra_epox,2013,2
114,2.9,0.20099,azox_cypr,2009,3
80,2.9,3.81511,azox_cypr,2008,2
50,2.9,2.66533,cypr,2007,2
184,3.0,24.19623,trif_prot,2011,2
164,3.0,118.85658,azox_cypr,2010,2
200,3.0,4.01285,pyra_epox,2012,2
107,3.0,16.49676,pico_cypr,2009,2
166,3.1,0.18811,pico_cypr,2010,2
78,3.2,2.17532,tebu,2008,2
153,3.2,11.25348,pico_cypr,2010,3
80,3.2,3.81511,pico_cypr,2008,2
153,3.2,11.25348,azox_cypr,2010,3
218,3.2,0.76971,azox,2013,2
65,3.3,1.31913,pyra_epox,2007,2
90,3.3,3.94954,pyra_epox,2009,3
169,3.3,2.76496,pico_cypr,2010,2
179,3.3,6.71692,tebu,2011,2
202,3.3,9.90909,cypr,2012,2
47,3.3,52.53432,tebu,2007,2
137,3.3,16.97160,trif_prot,2009,2
107,3.4,16.49676,pyra_epox,2009,2
103,3.4,27.17641,pico_cypr,2009,3
125,3.4,2.18833,pyra_metc,2009,3
98,3.5,0.75781,pico_cypr,2009,2
98,3.5,0.75781,azox_cypr,2009,2
98,3.5,0.75781,tebu,2009,2
161,3.5,10.64645,pyra_epox,2010,2
169,3.5,2.76496,azox_cypr,2010,2
194,3.5,33.86840,azox_cypr,2012,2
207,3.5,0.32639,pico_cypr,2012,2
210,3.5,2.31392,pyra_epox,2013,2
210,3.5,2.31392,azox_cypr,2013,2
216,3.5,21.61276,cypr,2013,2
235,3.5,15.77622,trif_prot,2014,2
123,3.6,1.45592,azox_cypr,2009,2
161,3.6,10.64645,azox_cypr,2010,2
98,3.8,0.75781,pyra_epox,2009,2
123,3.8,1.45592,trif_prot,2009,2
186,3.8,31.15238,pyra_epox,2011,2
194,3.8,33.86840,trif_prot,2012,2
200,3.8,4.01285,azox_cypr,2012,2
221,3.8,1.88631,cypr,2013,3
34,3.9,4.46524,cypr,2006,2
221,4.0,1.88631,tebu,2013,3
9,4.0,26.14686,tebu,2005,2
115,4.0,1.40317,pyra_metc,2009,3
128,4.0,11.68611,pyra_metc,2009,3
186,4.0,31.15238,pyra_metc,2011,2
216,4.0,21.61276,pico_cypr,2013,2
231,4.0,0.73264,pyra_epox,2013,2
231,4.0,0.73264,azox_cypr,2013,2
88,4.0,69.98940,tebu,2008,
218,4.1,0.76971,cypr,2013,2
100,4.1,20.54338,azox_cypr,2009,3
182,4.1,0.48713,azox_cypr,2011,2
123,4.2,1.45592,tebu,2009,2
54,4.2,39.31650,tebu,2007,2
36,4.3,8.95266,tebu,2006,2
93,4.3,7.72906,azox_cypr,2009,3
103,4.3,27.17641,pyra_epox,2009,3
186,4.3,31.15238,azox_cypr,2011,2
224,4.3,40.83477,azox_cypr,2013,2
182,4.4,0.48713,pyra_epox,2011,2
148,4.4,4.23162,pyra_epox,2010,2
88,4.5,69.98940,azox_cypr,2008,
67,4.5,20.42879,azox_cypr,2007,2
123,4.5,1.45592,pyra_metc,2009,2
185,4.5,32.22233,pyra_metc,2011,2
186,4.5,31.15238,pico_cypr,2011,2
204,4.5,10.64722,pico_cypr,2012,3
249,4.5,1.22953,pico_cypr,2014,2
166,4.5,0.18811,cypr,2010,2
148,4.6,4.23162,pyra_metc,2010,2
100,4.6,20.54338,pico_cypr,2009,3
111,4.6,27.74609,azox_cypr,2009,2
168,4.6,16.11492,azox_cypr,2010,2
75,4.7,26.41840,azox_cypr,2007,2
158,4.7,7.43021,pyra_metc,2010,
92,4.8,76.64312,pyra_epox,2009,2
93,4.8,7.72906,pyra_epox,2009,3
148,4.8,4.23162,azox_cypr,2010,2
202,4.8,9.90909,azox,2012,2
204,4.8,10.64722,azox_cypr,2012,3
205,4.8,0.62674,trif_prot,2012,2
11,4.8,1.91512,tebu,2005,2
185,4.9,32.22233,pyra_epox,2011,2
246,4.9,27.60144,trif_prot,2014,2
115,4.9,1.40317,trif_prot,2009,3
149,5.0,283.93882,cypr,2010,2
4,5.0,0.02820,check,2005,2
117,5.0,3.09707,tebu,2009,2
129,5.0,5.01111,trif_prot,2009,2
205,5.0,0.62674,pico_cypr,2012,2
205,5.0,0.62674,pyra_epox,2012,2
124,5.1,14.34246,trif_prot,2009,
144,5.2,43.60284,pyra_metc,2010,2
101,5.2,6.63221,pico_cypr,2009,2
205,5.3,0.62674,azox_cypr,2012,2
149,5.3,283.93882,tebu,2010,2
11,5.4,1.91512,azox_cypr,2005,2
166,5.4,0.18811,tebu,2010,2
185,5.4,32.22233,pico_cypr,2011,2
39,5.4,20.14764,tebu,2007,2
144,5.5,43.60284,azox_cypr,2010,2
111,5.5,27.74609,pico_cypr,2009,2
65,5.5,1.31913,tebu,2007,2
210,5.5,2.31390,check,2013,2
251,5.5,0.45000,trif_prot,2014,2
251,5.5,0.45000,pyra_metc,2014,2
251,5.5,0.45000,azox_cypr,2014,2
168,5.6,16.11492,pyra_epox,2010,2
111,5.7,27.74609,pyra_epox,2009,2
149,5.7,283.93882,pyra_metc,2010,2
218,5.7,0.76971,tebu,2013,2
181,5.7,43.46405,pyra_metc,2011,2
24,5.7,14.60036,tebu,2006,2
83,5.8,6.93658,azox_cypr,2008,
194,5.8,33.86840,pico_cypr,2012,2
218,5.8,0.76970,check,2013,2
251,5.8,0.45000,pyra_epox,2014,2
101,5.8,6.63221,pyra_epox,2009,2
154,5.8,9.61924,azox_cypr,2010,2
101,5.9,6.63221,azox_cypr,2009,2
83,5.9,6.93658,pico_cypr,2008,
224,5.9,40.83477,trif_prot,2013,2
10,6.0,8.57645,tebu,2005,2
93,6.0,7.72906,pico_cypr,2009,3
104,6.0,12.08496,azox_cypr,2009,2
120,6.0,4.79048,trif_prot,2009,2
120,6.0,4.79048,azox_cypr,2009,2
129,6.0,5.01111,azox_cypr,2009,2
130,6.0,0.09830,check,2009,2
158,6.0,7.43021,pyra_epox,2010,
194,6.0,33.86840,azox,2012,2
107,6.2,16.49676,azox_cypr,2009,2
132,6.2,28.07652,azox_cypr,2009,2
161,6.2,10.64645,pyra_metc,2010,2
137,6.2,16.97160,azox_cypr,2009,2
13,6.3,28.05183,azox_cypr,2005,2
91,6.3,2.56702,tebu,2009,2
139,6.3,16.48810,trif_prot,2009,2
186,6.3,31.15238,trif_prot,2011,2
243,6.3,5.36272,trif_prot,2014,3
244,6.3,28.18987,azox_cypr,2014,3
251,6.3,0.45000,pico_cypr,2014,2
58,6.3,6.75534,tebu,2007,2
219,6.3,10.11219,pyra_epox,2013,3
228,6.3,1.78622,trif_prot,2013,3
155,6.4,20.42122,pyra_epox,2010,2
116,6.5,1.52843,tebu,2009,2
206,6.5,0.93333,trif_prot,2012,2
153,6.5,11.25348,pyra_metc,2010,3
219,6.6,10.11219,pico_cypr,2013,3
167,6.6,7.97940,tebu,2010,2
145,6.7,25.53655,pyra_epox,2010,2
144,6.7,43.60284,pyra_epox,2010,2
231,6.8,0.73264,cypr,2013,2
137,6.8,16.97160,pyra_metc,2009,2
93,6.8,7.72906,tebu,2009,3
131,6.9,11.28952,trif_prot,2009,3
148,6.9,4.23162,pico_cypr,2010,2
17,6.9,15.08667,azox_cypr,2005,2
139,6.9,16.48810,pyra_metc,2009,2
58,6.9,6.75534,azox_cypr,2007,2
228,7.0,1.78622,pico_cypr,2013,3
58,7.0,6.75534,pyra_epox,2007,2
71,7.0,44.67594,azox_cypr,2007,2
169,7.0,2.76496,pyra_metc,2010,2
186,7.0,31.15238,cypr,2011,2
249,7.0,1.22953,trif_prot,2014,2
212,7.1,0.11000,check,2013,3
224,7.1,40.83477,pyra_epox,2013,2
115,7.1,1.40317,azox_cypr,2009,3
169,7.3,2.76496,pyra_epox,2010,2
178,7.3,1.06754,trif_prot,2011,2
189,7.3,2.98095,cypr,2011,2
224,7.3,40.83477,azox,2013,2
229,7.3,4.42391,pico_cypr,2013,2
57,7.3,10.24555,tebu,2007,2
154,7.3,9.61924,pico_cypr,2010,2
233,7.3,13.58053,pyra_metc,2014,3
29,7.4,15.58143,tebu,2006,2
155,7.5,20.42122,azox_cypr,2010,2
167,7.5,7.97940,check,2010,2
187,7.5,2.65794,azox_cypr,2011,2
202,7.5,9.90909,azox_cypr,2012,2
148,7.7,4.23162,tebu,2010,2
10,7.7,8.57645,azox_cypr,2005,2
89,7.7,0.25974,tebu,2009,3
213,7.7,3.66927,trif_prot,2013,2
105,7.8,0.15370,check,2009,2
219,7.8,10.11219,azox,2013,3
6,7.8,37.79475,tebu,2005,2
155,7.8,20.42122,pyra_metc,2010,2
173,7.8,3.75288,trif_prot,2011,2
8,7.8,0.34480,check,2005,2
153,7.9,11.25348,pyra_epox,2010,3
